Date,Open,High,Low,Close,Adj Close,Volume
2022-04-04,6632.000000,6758.450195,6622.000000,6743.899902,6705.407227,268314
2022-04-05,6770.000000,6816.000000,6680.049805,6726.149902,6687.758789,412049
2022-04-06,6700.000000,6792.000000,6690.000000,6736.149902,6697.701660,297453
2022-04-07,6696.000000,6796.500000,6696.000000,6736.649902,6698.198730,234000
2022-04-08,6799.000000,6850.000000,6722.850098,6837.000000,6797.976074,309692
2022-04-11,6834.649902,6918.500000,6800.000000,6858.750000,6819.602051,359038
2022-04-12,6850.000000,6858.750000,6721.799805,6775.549805,6736.876953,385829
2022-04-13,6750.000000,6840.000000,6694.200195,6730.049805,6691.636230,386535
2022-04-18,6645.500000,6689.899902,6570.049805,6639.600098,6601.703125,240392
2022-04-19,6700.000000,6764.250000,6506.049805,6585.700195,6548.110840,353426
2022-04-20,6587.000000,6827.750000,6585.700195,6807.149902,6768.296387,328054
2022-04-21,6830.000000,6887.000000,6808.000000,6846.500000,6807.421875,181457
2022-04-22,6800.000000,6809.950195,6710.100098,6744.100098,6705.606445,237385
2022-04-25,6694.000000,6713.049805,6556.649902,6595.049805,6557.406738,227496
2022-04-26,6680.000000,6694.200195,6615.000000,6660.200195,6622.185547,279555
2022-04-27,6575.000000,6629.850098,6536.049805,6548.450195,6511.073242,327597
2022-04-28,6598.000000,6635.000000,6551.049805,6616.950195,6579.182129,243308
2022-04-29,6617.399902,6797.000000,6520.200195,6630.250000,6592.406250,1139560
2022-05-02,6607.600098,6730.000000,6542.899902,6679.000000,6640.877930,329548
2022-05-04,6679.000000,6708.600098,6501.000000,6521.950195,6484.724609,228457
2022-05-05,6560.000000,6595.899902,6340.000000,6355.700195,6319.423340,344367
2022-05-06,6300.000000,6300.000000,6160.000000,6200.200195,6164.811035,499910
2022-05-09,6175.000000,6274.899902,6115.000000,6224.600098,6189.071777,355285
2022-05-10,6210.850098,6423.450195,6200.549805,6366.450195,6330.112305,359456
2022-05-11,6369.950195,6436.500000,6209.950195,6340.200195,6304.012207,217452
2022-05-12,6300.000000,6300.000000,6077.600098,6185.450195,6150.145020,323730
2022-05-13,6268.399902,6292.799805,6142.799805,6196.549805,6161.181641,319217
2022-05-16,6194.700195,6194.700195,5821.000000,6012.799805,5978.480469,685657
2022-05-17,6012.799805,6125.850098,5980.399902,6107.750000,6072.888672,637179
2022-05-18,6164.000000,6279.000000,6130.049805,6233.750000,6198.169434,371945
2022-05-19,6129.000000,6176.399902,6050.000000,6072.600098,6037.939453,259111
2022-05-20,6165.000000,6165.000000,6064.200195,6128.649902,6093.668945,374540
2022-05-23,6174.000000,6224.000000,5900.000000,5916.299805,5882.531250,528566
2022-05-24,5947.950195,5957.600098,5833.649902,5868.049805,5834.556641,458962
2022-05-25,5894.000000,5979.000000,5778.250000,5792.200195,5759.139648,571568
2022-05-26,5821.000000,5917.000000,5706.750000,5874.250000,5840.721191,512954
2022-05-27,5905.000000,5976.500000,5886.049805,5948.000000,5914.050293,290626
2022-05-30,6000.000000,6156.750000,5965.549805,6102.649902,6067.817383,330562
2022-05-31,6110.000000,6140.000000,6045.049805,6082.600098,6047.882324,431470
2022-06-01,6080.000000,6099.700195,5950.000000,5975.649902,5941.542480,268629
2022-06-02,5966.000000,6023.950195,5906.000000,6007.850098,5973.559082,320094
2022-06-03,6115.000000,6115.000000,5610.000000,5678.850098,5646.436523,2216480
2022-06-06,5680.000000,5735.000000,5575.000000,5581.350098,5549.493164,999722
2022-06-07,5560.000000,5576.299805,5410.000000,5555.200195,5523.492676,1203977
2022-06-08,5581.950195,5613.299805,5500.000000,5531.850098,5500.275879,605175
2022-06-09,5525.000000,5535.000000,5445.000000,5481.899902,5450.610840,375314
2022-06-10,5455.899902,5535.700195,5409.000000,5511.049805,5479.594238,493489
2022-06-13,5431.000000,5450.000000,5337.000000,5356.149902,5325.578613,441354
2022-06-14,5350.000000,5498.000000,5324.000000,5428.600098,5397.615234,610906
2022-06-15,5440.899902,5473.549805,5401.000000,5454.149902,5423.019043,286759
2022-06-16,5480.000000,5486.000000,5277.049805,5305.250000,5274.969238,732233
2022-06-17,5300.000000,5302.950195,5157.049805,5177.299805,5147.749023,819352
2022-06-20,5179.000000,5347.450195,5161.799805,5333.299805,5302.858887,506142
2022-06-21,5355.000000,5433.000000,5262.049805,5418.899902,5387.970215,292408
2022-06-22,5400.000000,5428.000000,5320.000000,5409.950195,5379.071777,214821
2022-06-23,5428.000000,5498.899902,5358.049805,5410.299805,5379.419434,296712
2022-06-24,5450.000000,5510.000000,5435.200195,5468.299805,5437.088379,265862
2022-06-27,5510.000000,5582.000000,5488.049805,5560.250000,5528.513672,226613
2022-06-28,5560.000000,5585.000000,5480.000000,5572.750000,5540.942383,278114
2022-06-29,5542.000000,5648.000000,5521.100098,5618.299805,5586.231934,490615
2022-06-30,5629.000000,5649.000000,5535.000000,5607.299805,5575.294922,572821
2022-07-01,5600.000000,5699.750000,5485.000000,5691.700195,5659.213379,329610
2022-07-04,5679.899902,5745.000000,5632.100098,5709.049805,5676.463867,165959
2022-07-05,5710.500000,5763.000000,5700.350098,5729.950195,5697.245117,307970
2022-07-06,5750.000000,5844.899902,5728.250000,5828.049805,5794.784668,371948
2022-07-07,5855.000000,5871.950195,5771.250000,5838.850098,5805.523438,261593
2022-07-08,5851.000000,5958.950195,5805.600098,5839.100098,5805.771973,410980
2022-07-11,5820.000000,5869.000000,5780.600098,5854.250000,5820.835449,189671
2022-07-12,5823.100098,5836.549805,5730.000000,5778.850098,5745.865723,171919
2022-07-13,5782.000000,5885.000000,5770.350098,5798.950195,5765.851074,263686
2022-07-14,5800.000000,5851.950195,5682.250000,5735.049805,5702.315430,285686
2022-07-15,5720.000000,5832.000000,5701.000000,5807.049805,5773.904785,255753
2022-07-18,5832.000000,5991.000000,5811.399902,5982.399902,5948.253906,512929
2022-07-19,5994.899902,6095.950195,5982.649902,6085.850098,6051.113770,555572
2022-07-20,6111.000000,6145.000000,6077.000000,6089.000000,6054.245605,371187
2022-07-21,6125.000000,6149.149902,6036.000000,6130.700195,6095.707520,328612
2022-07-22,6131.000000,6495.000000,6099.049805,6458.700195,6421.835449,1441549
2022-07-25,6349.000000,6446.799805,6260.049805,6382.899902,6346.467773,919050
2022-07-26,6389.500000,6462.049805,6307.200195,6399.649902,6363.122559,549442
2022-07-27,6390.299805,6551.000000,6365.899902,6535.350098,6498.047852,424070
2022-07-28,6560.000000,6560.000000,6445.000000,6471.250000,6434.313965,462464
2022-07-29,6539.700195,6577.250000,6490.000000,6544.799805,6507.443848,360851
2022-08-01,6587.950195,6664.000000,6560.049805,6657.649902,6619.649902,414339
2022-08-02,6627.850098,6694.000000,6595.000000,6651.299805,6651.299805,274658
2022-08-03,6665.000000,6695.000000,6514.049805,6602.700195,6602.700195,266360
2022-08-04,6648.000000,6685.350098,6550.000000,6588.049805,6588.049805,275815
2022-08-05,6588.049805,6799.000000,6588.049805,6775.200195,6775.200195,741250
2022-08-08,6755.000000,6775.200195,6647.000000,6677.850098,6677.850098,313912
2022-08-10,6724.350098,6742.100098,6580.549805,6595.649902,6595.649902,271291
2022-08-11,6630.100098,6654.950195,6573.600098,6597.100098,6597.100098,303393
2022-08-12,6595.000000,6610.149902,6515.000000,6559.299805,6559.299805,269932
2022-08-16,6592.100098,6679.000000,6560.049805,6656.000000,6656.000000,270299
2022-08-17,6710.000000,6723.750000,6594.049805,6609.850098,6609.850098,341063
2022-08-18,6609.100098,6710.250000,6609.100098,6703.950195,6703.950195,300992
2022-08-19,6725.000000,6782.899902,6606.000000,6647.549805,6647.549805,641293
2022-08-22,6655.000000,6666.850098,6445.049805,6467.500000,6467.500000,345960
2022-08-23,6445.000000,6580.000000,6405.100098,6495.399902,6495.399902,379309
2022-08-24,6452.100098,6533.700195,6452.100098,6508.350098,6508.350098,223101
2022-08-25,6530.000000,6606.000000,6454.600098,6475.049805,6475.049805,470687
2022-08-26,6507.450195,6570.000000,6471.000000,6517.149902,6517.149902,415698
2022-08-29,6402.000000,6580.000000,6402.000000,6506.299805,6506.299805,366457
2022-08-30,6538.850098,6690.000000,6525.000000,6677.850098,6677.850098,467147
2022-09-01,6629.000000,6760.000000,6605.000000,6632.500000,6632.500000,386222
2022-09-02,6640.000000,6666.649902,6545.000000,6577.500000,6577.500000,268505
2022-09-05,6575.000000,6619.850098,6496.399902,6521.950195,6521.950195,385312
2022-09-06,6540.000000,6556.000000,6456.049805,6495.500000,6495.500000,341220
2022-09-07,6460.000000,6798.000000,6431.000000,6770.799805,6770.799805,918604
2022-09-08,6844.000000,6939.000000,6780.000000,6919.649902,6919.649902,879685
2022-09-09,6930.000000,7029.000000,6764.149902,6783.649902,6783.649902,567059
2022-09-12,6783.649902,6900.000000,6740.000000,6869.600098,6869.600098,488043
2022-09-13,6899.000000,6969.600098,6855.000000,6896.299805,6896.299805,412295
2022-09-14,6790.000000,6964.399902,6760.100098,6875.750000,6875.750000,543948
2022-09-15,6909.000000,6925.000000,6758.149902,6790.049805,6790.049805,437578
2022-09-16,6790.049805,6818.750000,6451.000000,6481.399902,6481.399902,831639
2022-09-19,6395.000000,6511.950195,6244.600098,6459.850098,6459.850098,808807
2022-09-20,6492.700195,6563.350098,6457.950195,6484.649902,6484.649902,373825
2022-09-21,6500.000000,6532.950195,6296.549805,6313.750000,6313.750000,616165
2022-09-22,6300.000000,6364.850098,6230.000000,6239.399902,6239.399902,492098
2022-09-23,6260.000000,6283.950195,6127.149902,6139.950195,6139.950195,570526
2022-09-26,6119.950195,6240.000000,6005.000000,6177.100098,6177.100098,497458
2022-09-27,6208.000000,6273.950195,6128.000000,6192.850098,6192.850098,467962
2022-09-28,6150.000000,6277.649902,6112.049805,6172.950195,6172.950195,378895
2022-09-29,6218.000000,6262.850098,6145.000000,6175.899902,6175.899902,407574
2022-09-30,6172.200195,6325.000000,6172.000000,6255.100098,6255.100098,442887
2022-10-03,6286.399902,6355.299805,6229.200195,6242.549805,6242.549805,337932
2022-10-04,6348.899902,6381.850098,6280.149902,6307.549805,6307.549805,307268
2022-10-06,6340.000000,6366.850098,6257.500000,6287.250000,6287.250000,495617
2022-10-07,6300.000000,6307.200195,6133.399902,6203.500000,6203.500000,454883
2022-10-10,6156.200195,6173.250000,6120.000000,6149.899902,6149.899902,282642
2022-10-11,6180.649902,6205.000000,6060.600098,6076.750000,6076.750000,276525
2022-10-12,6085.000000,6190.000000,6057.799805,6177.700195,6177.700195,223353
2022-10-13,6172.000000,6216.000000,6101.000000,6181.750000,6181.750000,314360
2022-10-14,6260.000000,6260.000000,6169.000000,6192.000000,6192.000000,249291
2022-10-17,6170.000000,6281.799805,6082.200195,6271.500000,6271.500000,453912
2022-10-18,6305.000000,6444.000000,6290.250000,6346.750000,6346.750000,558284
2022-10-19,6348.100098,6446.000000,6250.100098,6398.399902,6398.399902,919146
2022-10-20,6340.000000,6413.000000,6277.000000,6302.299805,6302.299805,476962
2022-10-21,6315.600098,6421.000000,6315.600098,6362.899902,6362.899902,307899
2022-10-24,6440.000000,6444.000000,6370.350098,6394.600098,6394.600098,56532
2022-10-25,6420.000000,6474.000000,6387.200195,6415.700195,6415.700195,313500
2022-10-27,6474.000000,6474.000000,6372.000000,6436.799805,6436.799805,248556
2022-10-28,6442.000000,6470.000000,6406.500000,6445.850098,6445.850098,151834
2022-10-31,6478.100098,6730.899902,6454.750000,6714.950195,6714.950195,538107
2022-11-01,6743.950195,6850.000000,6718.200195,6820.899902,6820.899902,429855
2022-11-02,6825.049805,6875.000000,6725.049805,6779.899902,6779.899902,255634
2022-11-03,6730.049805,6784.000000,6670.049805,6728.250000,6728.250000,217701
2022-11-04,6759.000000,6960.000000,6735.799805,6893.049805,6893.049805,646411
2022-11-07,6925.000000,7018.000000,6868.000000,6973.500000,6973.500000,353341
2022-11-09,7000.000000,7060.000000,6858.000000,6903.500000,6903.500000,312745
2022-11-10,6895.000000,6895.000000,6790.000000,6801.299805,6801.299805,330402
2022-11-11,6839.950195,6927.799805,6787.450195,6813.200195,6813.200195,293195
2022-11-14,6845.000000,6897.500000,6819.399902,6854.399902,6854.399902,484476
2022-11-15,6880.000000,7000.000000,6867.049805,6964.549805,6964.549805,625270
2022-11-16,6986.950195,7035.000000,6935.500000,6938.350098,6938.350098,188120
